YEAR,REGION,STATE,OCC2010,OCC2010_COUNTS
2011,11,Connecticut,4600,302
2011,11,Connecticut,4610,147
2011,11,Connecticut,4620,155
2011,11,Connecticut,4640,17
2011,11,Connecticut,4650,17
2011,11,Connecticut,4700,621
2011,11,Connecticut,4720,562
2011,11,Connecticut,4740,15
2011,11,Connecticut,4750,8
2011,11,Connecticut,4760,530
2011,11,Connecticut,4800,38
2011,11,Connecticut,4810,94
2011,11,Connecticut,4820,107
2011,11,Connecticut,4830,13
2011,11,Connecticut,4840,104
2011,11,Connecticut,4850,208
2011,11,Connecticut,4900,5
2011,11,Connecticut,4920,141
2011,11,Connecticut,4930,4
2011,11,Connecticut,4940,6
2011,11,Connecticut,4950,22
2011,11,Connecticut,4965,30
2011,11,Connecticut,5000,173
2011,11,Connecticut,5010,5
2011,11,Connecticut,5020,10
2011,11,Connecticut,5030,3
2011,11,Connecticut,5100,15
2011,11,Connecticut,5110,87
2011,11,Connecticut,5120,220
2011,11,Connecticut,5130,5
2011,11,Connecticut,5140,25
2011,11,Connecticut,5150,2
2011,11,Connecticut,5160,49
2011,11,Connecticut,5165,17
2011,11,Connecticut,5200,2
2011,11,Connecticut,5220,8
2011,11,Connecticut,5230,4
2011,11,Connecticut,5240,320
2011,11,Connecticut,5250,7
2011,11,Connecticut,5260,54
2011,11,Connecticut,5300,18
2011,11,Connecticut,5310,20
2011,11,Connecticut,5320,26
2011,11,Connecticut,5330,18
2011,11,Connecticut,5340,6
2011,11,Connecticut,5350,23
2011,11,Connecticut,5360,8
2011,11,Connecticut,5400,201
2011,11,Connecticut,5410,19
2011,11,Connecticut,5420,17
2011,11,Connecticut,5500,3
2011,11,Connecticut,5510,36
2011,11,Connecticut,5520,41
2011,11,Connecticut,5530,3
2011,11,Connecticut,5540,13
2011,11,Connecticut,5550,38
2011,11,Connecticut,5560,16
2011,11,Connecticut,5600,41
2011,11,Connecticut,5610,83
2011,11,Connecticut,5620,190
2011,11,Connecticut,5630,9
2011,11,Connecticut,5700,666
2011,11,Connecticut,5800,29
2011,11,Connecticut,5810,51
2011,11,Connecticut,5820,44
2011,11,Connecticut,5840,51
2011,11,Connecticut,5850,26
2011,11,Connecticut,5860,211
2011,11,Connecticut,5900,8
2011,11,Connecticut,5910,6
2011,11,Connecticut,5920,5
2011,11,Connecticut,5940,79
2011,11,Connecticut,6005,2
2011,11,Connecticut,6010,1
2011,11,Connecticut,6040,2
2011,11,Connecticut,6050,44
2011,11,Connecticut,6100,1
2011,11,Connecticut,6120,1
2011,11,Connecticut,6130,4
2011,11,Connecticut,6200,101
2011,11,Connecticut,6210,2
2011,11,Connecticut,6220,38
2011,11,Connecticut,6230,191
2011,11,Connecticut,6240,27
2011,11,Connecticut,6250,1
2011,11,Connecticut,6260,163
2011,11,Connecticut,6300,6
2011,11,Connecticut,6320,38
2011,11,Connecticut,6330,13
2011,11,Connecticut,6355,104
2011,11,Connecticut,6360,6
2011,11,Connecticut,6400,5
2011,11,Connecticut,6420,103
2011,11,Connecticut,6440,73
2011,11,Connecticut,6460,1
2011,11,Connecticut,6515,18
2011,11,Connecticut,6520,19
2011,11,Connecticut,6530,6
2011,11,Connecticut,6600,2
2011,11,Connecticut,6660,10
2011,11,Connecticut,6700,5
2011,11,Connecticut,6710,1
2011,11,Connecticut,6720,5
2011,11,Connecticut,6730,21
2011,11,Connecticut,6740,1
2011,11,Connecticut,6765,6
2011,11,Connecticut,6820,4
2011,11,Connecticut,6940,1
2011,11,Connecticut,7000,38
2011,11,Connecticut,7010,45
2011,11,Connecticut,7020,16
2011,11,Connecticut,7030,4
2011,11,Connecticut,7040,1
2011,11,Connecticut,7100,9
2011,11,Connecticut,7110,4
2011,11,Connecticut,7120,6
2011,11,Connecticut,7130,5
2011,11,Connecticut,7140,19
2011,11,Connecticut,7150,20
2011,11,Connecticut,7160,4
2011,11,Connecticut,7200,123
2011,11,Connecticut,7210,27
2011,11,Connecticut,7220,16
2011,11,Connecticut,7240,5
2011,11,Connecticut,7260,6
2011,11,Connecticut,7300,2
2011,11,Connecticut,7315,49
2011,11,Connecticut,7320,3
2011,11,Connecticut,7330,48
2011,11,Connecticut,7340,76
2011,11,Connecticut,7350,4
2011,11,Connecticut,7360,5
2011,11,Connecticut,7410,15
2011,11,Connecticut,7420,21
2011,11,Connecticut,7430,10
2011,11,Connecticut,7510,4
2011,11,Connecticut,7540,3
2011,11,Connecticut,7550,1
2011,11,Connecticut,7560,2
2011,11,Connecticut,7610,1
2011,11,Connecticut,7630,38
2011,11,Connecticut,7700,92
2011,11,Connecticut,7710,7
2011,11,Connecticut,7720,25
2011,11,Connecticut,7730,9
2011,11,Connecticut,7740,4
2011,11,Connecticut,7750,113
2011,11,Connecticut,7800,30
2011,11,Connecticut,7810,18
2011,11,Connecticut,7830,2
2011,11,Connecticut,7840,8
2011,11,Connecticut,7855,5
2011,11,Connecticut,7900,21
2011,11,Connecticut,7920,3
2011,11,Connecticut,7930,1
2011,11,Connecticut,7950,3
2011,11,Connecticut,8000,12
2011,11,Connecticut,8010,1
2011,11,Connecticut,8030,107
2011,11,Connecticut,8040,2
2011,11,Connecticut,8100,6
2011,11,Connecticut,8130,38
2011,11,Connecticut,8140,35
2011,11,Connecticut,8150,1
2011,11,Connecticut,8200,6
2011,11,Connecticut,8210,1
2011,11,Connecticut,8220,87
2011,11,Connecticut,8230,42
2011,11,Connecticut,8250,6
2011,11,Connecticut,8300,33
2011,11,Connecticut,8310,4
2011,11,Connecticut,8320,18
2011,11,Connecticut,8330,1
2011,11,Connecticut,8350,12
2011,11,Connecticut,8420,1
2011,11,Connecticut,8450,1
2011,11,Connecticut,8460,1
2011,11,Connecticut,8500,9
2011,11,Connecticut,8510,2
2011,11,Connecticut,8530,1
2011,11,Connecticut,8540,2
2011,11,Connecticut,8550,3
2011,11,Connecticut,8600,7
2011,11,Connecticut,8610,7
2011,11,Connecticut,8620,7
2011,11,Connecticut,8630,3
2011,11,Connecticut,8640,3
2011,11,Connecticut,8650,9
2011,11,Connecticut,8710,9
2011,11,Connecticut,8720,3
2011,11,Connecticut,8740,100
2011,11,Connecticut,8750,3
2011,11,Connecticut,8760,15
2011,11,Connecticut,8800,26
2011,11,Connecticut,8810,16
2011,11,Connecticut,8830,8
2011,11,Connecticut,8850,3
2011,11,Connecticut,8920,5
2011,11,Connecticut,8930,1
2011,11,Connecticut,8940,1
2011,11,Connecticut,8950,7
2011,11,Connecticut,8965,129
2011,11,Connecticut,9000,32
2011,11,Connecticut,9030,18
2011,11,Connecticut,9040,1
2011,11,Connecticut,9050,7
2011,11,Connecticut,9100,110
2011,11,Connecticut,9130,270
2011,11,Connecticut,9140,46
2011,11,Connecticut,9150,13
2011,11,Connecticut,9200,3
2011,11,Connecticut,9240,3
2011,11,Connecticut,9260,1
2011,11,Connecticut,9300,1
2011,11,Connecticut,9310,2
2011,11,Connecticut,9350,20
2011,11,Connecticut,9360,22
2011,11,Connecticut,9410,8
2011,11,Connecticut,9420,1
2011,11,Connecticut,9510,6
2011,11,Connecticut,9520,6
2011,11,Connecticut,9560,1
2011,11,Connecticut,9600,33
2011,11,Connecticut,9610,39
2011,11,Connecticut,9620,261
2011,11,Connecticut,9630,6
2011,11,Connecticut,9640,29
2011,11,Connecticut,9650,1
2011,11,Connecticut,9720,9
2011,11,Connecticut,9750,2
2011,11,Connecticut,9800,2
2011,11,Connecticut,9810,6
2011,11,Connecticut,9820,21
2011,11,Connecticut,9830,25
2011,11,Connecticut,9920,14227
2011,11,Maine,10,52
2011,11,Maine,20,38
2011,11,Maine,30,28
2011,11,Maine,100,7
2011,11,Maine,110,10
2011,11,Maine,120,54
2011,11,Maine,130,19
2011,11,Maine,140,19
2011,11,Maine,150,6
2011,11,Maine,160,6
2011,11,Maine,205,45
2011,11,Maine,220,28
2011,11,Maine,230,44
2011,11,Maine,300,4
2011,11,Maine,310,46
2011,11,Maine,350,34
2011,11,Maine,410,22
2011,11,Maine,420,28
2011,11,Maine,430,165
2011,11,Maine,500,2
2011,11,Maine,520,10
2011,11,Maine,530,10
2011,11,Maine,540,17
2011,11,Maine,560,6
2011,11,Maine,600,6
2011,11,Maine,620,31
2011,11,Maine,700,6
2011,11,Maine,710,36
2011,11,Maine,720,11
2011,11,Maine,730,12
2011,11,Maine,800,60
2011,11,Maine,810,7
2011,11,Maine,830,1
2011,11,Maine,840,2
2011,11,Maine,850,12
2011,11,Maine,860,5
2011,11,Maine,910,17
2011,11,Maine,930,4
2011,11,Maine,940,4
2011,11,Maine,950,2
2011,11,Maine,1000,31
2011,11,Maine,1010,13
2011,11,Maine,1020,19
2011,11,Maine,1050,20
2011,11,Maine,1060,4
2011,11,Maine,1100,10
2011,11,Maine,1220,6
2011,11,Maine,1240,1
2011,11,Maine,1300,7
2011,11,Maine,1310,8
2011,11,Maine,1320,5
2011,11,Maine,1350,2
2011,11,Maine,1360,14
2011,11,Maine,1410,8
2011,11,Maine,1420,2
2011,11,Maine,1430,6
2011,11,Maine,1440,6
2011,11,Maine,1450,3
2011,11,Maine,1460,4
2011,11,Maine,1520,2
2011,11,Maine,1530,15
2011,11,Maine,1540,11
2011,11,Maine,1550,27
2011,11,Maine,1560,5
2011,11,Maine,1600,3
2011,11,Maine,1610,12
2011,11,Maine,1640,4
2011,11,Maine,1650,3
2011,11,Maine,1720,1
2011,11,Maine,1740,5
2011,11,Maine,1760,6
2011,11,Maine,1820,14
2011,11,Maine,1830,4
2011,11,Maine,1840,4
2011,11,Maine,1900,2
2011,11,Maine,1910,3
2011,11,Maine,1960,13
2011,11,Maine,2000,43
2011,11,Maine,2010,85
2011,11,Maine,2020,6
2011,11,Maine,2040,20
2011,11,Maine,2050,2
2011,11,Maine,2060,3
2011,11,Maine,2100,31
2011,11,Maine,2140,16
2011,11,Maine,2150,7
2011,11,Maine,2200,77
2011,11,Maine,2300,22
2011,11,Maine,2310,215
2011,11,Maine,2320,66
2011,11,Maine,2330,26
2011,11,Maine,2340,61
2011,11,Maine,2400,3
2011,11,Maine,2430,9
2011,11,Maine,2440,6
2011,11,Maine,2540,32
2011,11,Maine,2550,10
2011,11,Maine,2600,19
2011,11,Maine,2630,52
2011,11,Maine,2700,4
2011,11,Maine,2720,16
2011,11,Maine,2750,13
2011,11,Maine,2800,1
2011,11,Maine,2810,22
2011,11,Maine,2825,6
2011,11,Maine,2840,3
2011,11,Maine,2850,16
2011,11,Maine,2860,2
2011,11,Maine,2900,1
2011,11,Maine,2910,4
2011,11,Maine,2920,3
2011,11,Maine,3000,1
2011,11,Maine,3010,4
2011,11,Maine,3030,4
2011,11,Maine,3050,13
2011,11,Maine,3060,39
2011,11,Maine,3110,4
2011,11,Maine,3130,198
2011,11,Maine,3140,1
2011,11,Maine,3150,4
2011,11,Maine,3160,15
2011,11,Maine,3200,3
2011,11,Maine,3220,10
2011,11,Maine,3230,7
2011,11,Maine,3240,7
2011,11,Maine,3250,10
2011,11,Maine,3260,2
2011,11,Maine,3300,25
2011,11,Maine,3310,22
2011,11,Maine,3320,18
2011,11,Maine,3400,10
2011,11,Maine,3410,26
2011,11,Maine,3500,23
2011,11,Maine,3510,7
2011,11,Maine,3520,1
2011,11,Maine,3530,6
2011,11,Maine,3540,2
2011,11,Maine,3600,164
2011,11,Maine,3610,3
2011,11,Maine,3620,3
2011,11,Maine,3630,12
2011,11,Maine,3640,5
2011,11,Maine,3650,61
2011,11,Maine,3700,5
2011,11,Maine,3710,8
2011,11,Maine,3720,3
2011,11,Maine,3730,2
2011,11,Maine,3740,11
2011,11,Maine,3750,1
2011,11,Maine,3800,15
2011,11,Maine,3820,32
2011,11,Maine,3910,4
2011,11,Maine,3930,22
2011,11,Maine,3940,14
2011,11,Maine,3950,30
2011,11,Maine,4000,157
2011,11,Maine,4010,27
2011,11,Maine,4030,78
2011,11,Maine,4040,16
2011,11,Maine,4050,30
2011,11,Maine,4060,20
2011,11,Maine,4110,129
2011,11,Maine,4120,8
2011,11,Maine,4130,26
2011,11,Maine,4140,33
2011,11,Maine,4150,15
2011,11,Maine,4200,17
2011,11,Maine,4210,6
2011,11,Maine,4220,143
2011,11,Maine,4230,87
2011,11,Maine,4240,1
2011,11,Maine,4250,92
2011,11,Maine,4300,4
2011,11,Maine,4320,6
2011,11,Maine,4340,1
2011,11,Maine,4350,23
2011,11,Maine,4430,17
2011,11,Maine,4460,6
2011,11,Maine,4500,1
2011,11,Maine,4510,32
2011,11,Maine,4520,1
2011,11,Maine,4530,2
2011,11,Maine,4540,9
2011,11,Maine,4600,68
2011,11,Maine,4610,83
2011,11,Maine,4620,33
2011,11,Maine,4640,9
2011,11,Maine,4650,11
2011,11,Maine,4700,220
2011,11,Maine,4720,227
2011,11,Maine,4740,9
2011,11,Maine,4750,9
2011,11,Maine,4760,176
2011,11,Maine,4800,10
2011,11,Maine,4810,18
2011,11,Maine,4820,11
2011,11,Maine,4830,1
2011,11,Maine,4840,22
2011,11,Maine,4850,48
2011,11,Maine,4900,6
2011,11,Maine,4920,25
2011,11,Maine,4930,1
2011,11,Maine,4940,23
2011,11,Maine,4950,4
2011,11,Maine,4965,14
2011,11,Maine,5000,56
2011,11,Maine,5020,6
2011,11,Maine,5030,1
2011,11,Maine,5100,8
2011,11,Maine,5110,28
2011,11,Maine,5120,79
2011,11,Maine,5140,10
2011,11,Maine,5150,2
2011,11,Maine,5160,38
2011,11,Maine,5165,8
2011,11,Maine,5220,3
2011,11,Maine,5230,3
2011,11,Maine,5240,117
2011,11,Maine,5250,8
2011,11,Maine,5260,22
2011,11,Maine,5300,8
2011,11,Maine,5310,20
2011,11,Maine,5320,9
2011,11,Maine,5330,3
2011,11,Maine,5340,3
2011,11,Maine,5350,11
2011,11,Maine,5360,1
2011,11,Maine,5400,72
2011,11,Maine,5410,3
2011,11,Maine,5420,7
2011,11,Maine,5500,1
2011,11,Maine,5510,14
2011,11,Maine,5520,8
2011,11,Maine,5530,1
2011,11,Maine,5540,5
2011,11,Maine,5550,18
2011,11,Maine,5560,5
2011,11,Maine,5600,13
2011,11,Maine,5610,22
2011,11,Maine,5620,102
2011,11,Maine,5630,7
2011,11,Maine,5700,245
2011,11,Maine,5800,7
2011,11,Maine,5810,25
2011,11,Maine,5820,14
2011,11,Maine,5840,12
2011,11,Maine,5850,6
2011,11,Maine,5860,60
2011,11,Maine,5900,5
2011,11,Maine,5910,3
2011,11,Maine,5920,1
2011,11,Maine,5940,39
2011,11,Maine,6005,10
2011,11,Maine,6040,2
2011,11,Maine,6050,76
2011,11,Maine,6100,115
2011,11,Maine,6120,3
2011,11,Maine,6130,51
2011,11,Maine,6200,58
2011,11,Maine,6210,2
2011,11,Maine,6220,9
2011,11,Maine,6230,146
2011,11,Maine,6240,1
2011,11,Maine,6260,88
2011,11,Maine,6300,5
2011,11,Maine,6320,35
2011,11,Maine,6330,9
2011,11,Maine,6355,44
2011,11,Maine,6360,4
2011,11,Maine,6400,10
2011,11,Maine,6420,44
2011,11,Maine,6440,25
2011,11,Maine,6515,7
2011,11,Maine,6520,5
2011,11,Maine,6530,2
2011,11,Maine,6600,5
2011,11,Maine,6660,6
2011,11,Maine,6700,1
2011,11,Maine,6710,2
2011,11,Maine,6720,1
2011,11,Maine,6730,15
2011,11,Maine,6740,1
2011,11,Maine,6765,1
2011,11,Maine,6800,1
2011,11,Maine,6820,4
2011,11,Maine,6830,2
2011,11,Maine,6840,2
2011,11,Maine,7000,16
2011,11,Maine,7010,11
2011,11,Maine,7020,8
2011,11,Maine,7040,1
2011,11,Maine,7120,5
2011,11,Maine,7140,6
2011,11,Maine,7150,8
2011,11,Maine,7160,1
2011,11,Maine,7200,61
2011,11,Maine,7210,26
2011,11,Maine,7220,14
2011,11,Maine,7240,3
2011,11,Maine,7260,1
2011,11,Maine,7300,1
2011,11,Maine,7315,15
2011,11,Maine,7320,1
2011,11,Maine,7330,28
2011,11,Maine,7340,34
2011,11,Maine,7350,2
2011,11,Maine,7360,11
2011,11,Maine,7410,11
2011,11,Maine,7420,3
2011,11,Maine,7430,2
2011,11,Maine,7540,1
2011,11,Maine,7630,10
2011,11,Maine,7700,38
2011,11,Maine,7720,8
2011,11,Maine,7740,1
2011,11,Maine,7750,50
2011,11,Maine,7800,15
2011,11,Maine,7810,14
2011,11,Maine,7840,5
2011,11,Maine,7850,1
2011,11,Maine,7855,3
2011,11,Maine,7900,2
2011,11,Maine,7950,1
2011,11,Maine,7960,1
2011,11,Maine,8000,4
2011,11,Maine,8010,1
2011,11,Maine,8030,28
2011,11,Maine,8040,1
2011,11,Maine,8100,2
2011,11,Maine,8140,33
2011,11,Maine,8150,1
2011,11,Maine,8210,3
2011,11,Maine,8220,23
2011,11,Maine,8230,7
2011,11,Maine,8250,2
2011,11,Maine,8300,14
2011,11,Maine,8320,25
2011,11,Maine,8330,2
2011,11,Maine,8340,1
2011,11,Maine,8350,8
2011,11,Maine,8410,6
2011,11,Maine,8420,3
2011,11,Maine,8450,2
2011,11,Maine,8500,7
2011,11,Maine,8510,3
2011,11,Maine,8530,9
2011,11,Maine,8540,2
2011,11,Maine,8550,10
2011,11,Maine,8600,1
2011,11,Maine,8610,6
2011,11,Maine,8620,9
2011,11,Maine,8630,2
2011,11,Maine,8640,4
2011,11,Maine,8650,3
2011,11,Maine,8710,5
2011,11,Maine,8720,5
2011,11,Maine,8740,26
2011,11,Maine,8760,2
2011,11,Maine,8800,10
2011,11,Maine,8810,4
2011,11,Maine,8830,2
2011,11,Maine,8920,3
2011,11,Maine,8930,12
2011,11,Maine,8940,1
2011,11,Maine,8950,2
2011,11,Maine,8965,81
2011,11,Maine,9000,7
2011,11,Maine,9030,3
2011,11,Maine,9100,30
2011,11,Maine,9130,196
2011,11,Maine,9140,13
2011,11,Maine,9150,2
2011,11,Maine,9230,1
2011,11,Maine,9240,1
2011,11,Maine,9300,7
2011,11,Maine,9310,8
2011,11,Maine,9350,1
2011,11,Maine,9360,10
2011,11,Maine,9410,3
2011,11,Maine,9510,9
2011,11,Maine,9520,3
2011,11,Maine,9600,23
2011,11,Maine,9610,20
2011,11,Maine,9620,144
2011,11,Maine,9630,3
2011,11,Maine,9640,21
2011,11,Maine,9720,7
2011,11,Maine,9750,7
2011,11,Maine,9810,3
2011,11,Maine,9820,9
2011,11,Maine,9830,4
2011,11,Maine,9920,5312
2011,11,Massachusetts,10,405
2011,11,Massachusetts,20,320
2011,11,Massachusetts,30,320
2011,11,Massachusetts,100,55
2011,11,Massachusetts,110,201
2011,11,Massachusetts,120,370
2011,11,Massachusetts,130,126
2011,11,Massachusetts,140,63
2011,11,Massachusetts,150,52
2011,11,Massachusetts,160,48
2011,11,Massachusetts,205,46
2011,11,Massachusetts,220,143
2011,11,Massachusetts,230,380
2011,11,Massachusetts,300,51
2011,11,Massachusetts,310,227
2011,11,Massachusetts,350,214
2011,11,Massachusetts,360,17
2011,11,Massachusetts,410,153
2011,11,Massachusetts,420,124
2011,11,Massachusetts,430,999
2011,11,Massachusetts,500,11
2011,11,Massachusetts,510,2
2011,11,Massachusetts,520,76
2011,11,Massachusetts,530,52
2011,11,Massachusetts,540,66
2011,11,Massachusetts,560,46
2011,11,Massachusetts,600,30
2011,11,Massachusetts,620,251
2011,11,Massachusetts,700,13
2011,11,Massachusetts,710,331
2011,11,Massachusetts,720,92
2011,11,Massachusetts,730,227
2011,11,Massachusetts,800,723
2011,11,Massachusetts,810,26
2011,11,Massachusetts,820,10
2011,11,Massachusetts,830,10
2011,11,Massachusetts,840,52
2011,11,Massachusetts,850,139
2011,11,Massachusetts,860,34
2011,11,Massachusetts,900,7
2011,11,Massachusetts,910,72
2011,11,Massachusetts,930,24
2011,11,Massachusetts,940,39
2011,11,Massachusetts,950,24
2011,11,Massachusetts,1000,349
2011,11,Massachusetts,1010,144
2011,11,Massachusetts,1020,464
2011,11,Massachusetts,1050,185
2011,11,Massachusetts,1060,39
2011,11,Massachusetts,1100,73
2011,11,Massachusetts,1200,14
2011,11,Massachusetts,1220,43
2011,11,Massachusetts,1240,24
2011,11,Massachusetts,1300,87
2011,11,Massachusetts,1310,12
2011,11,Massachusetts,1320,35
2011,11,Massachusetts,1350,12
2011,11,Massachusetts,1360,88
2011,11,Massachusetts,1400,18
2011,11,Massachusetts,1410,105
2011,11,Massachusetts,1420,11
2011,11,Massachusetts,1430,65
2011,11,Massachusetts,1440,2
2011,11,Massachusetts,1450,12
2011,11,Massachusetts,1460,52
2011,11,Massachusetts,1530,190
2011,11,Massachusetts,1540,50
2011,11,Massachusetts,1550,132
2011,11,Massachusetts,1560,12
2011,11,Massachusetts,1600,11
2011,11,Massachusetts,1610,43
2011,11,Massachusetts,1640,6
2011,11,Massachusetts,1650,137
2011,11,Massachusetts,1700,12
2011,11,Massachusetts,1720,64
2011,11,Massachusetts,1740,18
2011,11,Massachusetts,1760,185
2011,11,Massachusetts,1800,19
2011,11,Massachusetts,1820,120
2011,11,Massachusetts,1830,8
2011,11,Massachusetts,1840,22
2011,11,Massachusetts,1900,2
2011,11,Massachusetts,1910,16
2011,11,Massachusetts,1920,13
2011,11,Massachusetts,1930,1
2011,11,Massachusetts,1960,146
2011,11,Massachusetts,2000,308
2011,11,Massachusetts,2010,361
2011,11,Massachusetts,2020,35
2011,11,Massachusetts,2040,132
2011,11,Massachusetts,2050,15
2011,11,Massachusetts,2060,36
2011,11,Massachusetts,2100,385
