STATEFIP,YEAR,MONTH,REGION,COUNTY,AGE,SEX,RACE,BUNBANKED,BACCTEV,BCHECKEV,BCHECK12M,BCHECKREAS,BPAYDAY,BPAYDAYOFT,BPAYDAYREAS,BCHECK30D,BPAYDAY12M,BPAYDAY30D,BINCWHERE,BBILLCASH,BBILLCHECK,BCREDITAPP,BCREDITDENY,BNOACCT,BSAVECACCT,BINC12M,BINTERNET,BPSUPINT,CIHHCOMP,CINETHH,CINETHP,CINTUSE,CINTOUT,CINTOTHH,CINTLIBH,CINTSCH,CINTSCHH,CINONET,CIHSNET,CIPWT,CISUPPWT,UBSUPPWT
45,2010,1767,1767,1767,1767,1767,1767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1767,1767,0,0,0,0,1767,0,1767,1767,1767,0,1767,0
45,2011,3515,3515,3515,3515,3515,3515,1749,1749,0,1749,1749,1749,0,1749,1749,1749,1749,0,0,0,0,0,0,0,0,0,1749,0,0,1766,0,0,1766,0,1766,0,1766,1766,1766,1766,1749
45,2012,1707,1707,1707,1707,1707,1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707,0,0,0,1707,0,1707,1707,1707,1707,1707,0
45,2013,3246,3246,3246,3246,3246,3246,1609,1609,0,1609,0,1609,0,0,1609,1609,1609,0,0,0,0,0,1609,0,0,0,1609,0,0,1637,0,1637,1637,0,1637,0,1637,1637,1637,1637,1609
45,2015,3798,3798,3798,3798,3798,3798,1883,1883,0,1883,0,0,0,0,0,1883,0,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883,0,0,1915,0,1915,1915,0,1915,0,0,0,1915,1915,1883
45,2017,3960,3960,3960,3960,3960,3960,1942,1942,0,1942,0,0,0,0,0,1942,0,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942,0,0,2018,0,2018,2018,0,2018,0,0,0,2018,2018,1942
46,2009,4093,4093,4093,4093,4093,4093,2006,2006,2006,0,2006,2006,2006,2006,0,2006,0,0,0,0,0,0,0,0,0,0,2006,0,2087,0,2087,0,0,0,0,0,0,2087,0,2087,2006
46,2010,2073,2073,2073,2073,2073,2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2073,2073,0,0,0,0,2073,0,2073,2073,2073,0,2073,0
46,2011,4361,4361,4361,4361,4361,4361,2211,2211,0,2211,2211,2211,0,2211,2211,2211,2211,0,0,0,0,0,0,0,0,0,2211,0,0,2150,0,0,2150,0,2150,0,2150,2150,2150,2150,2211
46,2012,2086,2086,2086,2086,2086,2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2086,0,0,0,2086,0,2086,2086,2086,2086,2086,0
46,2013,3933,3933,3933,3933,3933,3933,1969,1969,0,1969,0,1969,0,0,1969,1969,1969,0,0,0,0,0,1969,0,0,0,1969,0,0,1964,0,1964,1964,0,1964,0,1964,1964,1964,1964,1969
46,2015,3047,3047,3047,3047,3047,3047,1508,1508,0,1508,0,0,0,0,0,1508,0,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,0,0,1539,0,1539,1539,0,1539,0,0,0,1539,1539,1508
46,2017,2880,2880,2880,2880,2880,2880,1425,1425,0,1425,0,0,0,0,0,1425,0,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,0,0,1455,0,1455,1455,0,1455,0,0,0,1455,1455,1425
47,2009,3602,3602,3602,3602,3602,3602,1788,1788,1788,0,1788,1788,1788,1788,0,1788,0,0,0,0,0,0,0,0,0,0,1788,0,1814,0,1814,0,0,0,0,0,0,1814,0,1814,1788
47,2010,1875,1875,1875,1875,1875,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,1875,0,0,0,0,1875,0,1875,1875,1875,0,1875,0
47,2011,3535,3535,3535,3535,3535,3535,1780,1780,0,1780,1780,1780,0,1780,1780,1780,1780,0,0,0,0,0,0,0,0,0,1780,0,0,1755,0,0,1755,0,1755,0,1755,1755,1755,1755,1780
47,2012,1709,1709,1709,1709,1709,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709,0,0,0,1709,0,1709,1709,1709,1709,1709,0
47,2013,3671,3671,3671,3671,3671,3671,1861,1861,0,1861,0,1861,0,0,1861,1861,1861,0,0,0,0,0,1861,0,0,0,1861,0,0,1810,0,1810,1810,0,1810,0,1810,1810,1810,1810,1861
47,2015,4605,4605,4605,4605,4605,4605,2253,2253,0,2253,0,0,0,0,0,2253,0,2253,2253,2253,2253,2253,2253,2253,2253,2253,2253,0,0,2352,0,2352,2352,0,2352,0,0,0,2352,2352,2253
47,2017,4939,4939,4939,4939,4939,4939,2516,2516,0,2516,0,0,0,0,0,2516,0,2516,2516,2516,2516,2516,2516,2516,2516,2516,2516,0,0,2423,0,2423,2423,0,2423,0,0,0,2423,2423,2516
48,2009,14239,14239,14239,14239,14239,14239,7124,7124,7124,0,7124,7124,7124,7124,0,7124,0,0,0,0,0,0,0,0,0,0,7124,0,7115,0,7115,0,0,0,0,0,0,7115,0,7115,7124
48,2010,7307,7307,7307,7307,7307,7307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7307,7307,0,0,0,0,7307,0,7307,7307,7307,0,7307,0
48,2011,14679,14679,14679,14679,14679,14679,7341,7341,0,7341,7341,7341,0,7341,7341,7341,7341,0,0,0,0,0,0,0,0,0,7341,0,0,7338,0,0,7338,0,7338,0,7338,7338,7338,7338,7341
48,2012,7266,7266,7266,7266,7266,7266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7266,0,0,0,7266,0,7266,7266,7266,7266,7266,0
48,2013,14638,14638,14638,14638,14638,14638,7323,7323,0,7323,0,7323,0,0,7323,7323,7323,0,0,0,0,0,7323,0,0,0,7323,0,0,7315,0,7315,7315,0,7315,0,7315,7315,7315,7315,7323
48,2015,14452,14452,14452,14452,14452,14452,7348,7348,0,7348,0,0,0,0,0,7348,0,7348,7348,7348,7348,7348,7348,7348,7348,7348,7348,0,0,7104,0,7104,7104,0,7104,0,0,0,7104,7104,7348
48,2017,14750,14750,14750,14750,14750,14750,7382,7382,0,7382,0,0,0,0,0,7382,0,7382,7382,7382,7382,7382,7382,7382,7382,7382,7382,0,0,7368,0,7368,7368,0,7368,0,0,0,7368,7368,7382
49,2009,3439,3439,3439,3439,3439,3439,1740,1740,1740,0,1740,1740,1740,1740,0,1740,0,0,0,0,0,0,0,0,0,0,1740,0,1699,0,1699,0,0,0,0,0,0,1699,0,1699,1740
49,2010,1663,1663,1663,1663,1663,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663,1663,0,0,0,0,1663,0,1663,1663,1663,0,1663,0
49,2011,3502,3502,3502,3502,3502,3502,1781,1781,0,1781,1781,1781,0,1781,1781,1781,1781,0,0,0,0,0,0,0,0,0,1781,0,0,1721,0,0,1721,0,1721,0,1721,1721,1721,1721,1781
49,2012,1759,1759,1759,1759,1759,1759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759,0,0,0,1759,0,1759,1759,1759,1759,1759,0
49,2013,3511,3511,3511,3511,3511,3511,1766,1766,0,1766,0,1766,0,0,1766,1766,1766,0,0,0,0,0,1766,0,0,0,1766,0,0,1745,0,1745,1745,0,1745,0,1745,1745,1745,1745,1766
49,2015,4095,4095,4095,4095,4095,4095,2113,2113,0,2113,0,0,0,0,0,2113,0,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,0,0,1982,0,1982,1982,0,1982,0,0,0,1982,1982,2113
49,2017,4048,4048,4048,4048,4048,4048,1926,1926,0,1926,0,0,0,0,0,1926,0,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,0,0,2122,0,2122,2122,0,2122,0,0,0,2122,2122,1926
